"filename", "language", "Python", "XML", "QSS", "Markdown", "HTML", "SQL", "JSON", "CSV", "C++", "comment", "blank", "total"
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\details.md", "Markdown", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 6, 60
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\diff-details.md", "Markdown", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 6, 62
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 49
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\diff.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 47
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-35-54\results.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 7, 21
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\details.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\diff-details.md", "Markdown", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 6, 88
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 75
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\diff.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 30
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-07_07-38-41\results.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 7, 21
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\details.md", "Markdown", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 6, 62
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\diff-details.md", "Markdown", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 6, 90
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 77
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\diff.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 49
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-15_22-15-59\results.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 7, 21
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\details.md", "Markdown", 0, 0, 0, 451, 0, 0, 0, 0, 0, 0, 6, 457
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\diff-details.md", "Markdown", 0, 0, 0, 498, 0, 0, 0, 0, 0, 0, 6, 504
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 491, 0, 0, 0, 491
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\diff.md", "Markdown", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 7, 101
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 444, 0, 0, 0, 444
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-19_21-39-58\results.md", "Markdown", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 7, 99
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\details.md", "Markdown", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 6, 62
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\diff-details.md", "Markdown", 0, 0, 0, 498, 0, 0, 0, 0, 0, 0, 6, 504
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 491, 0, 0, 0, 491
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\diff.md", "Markdown", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 7, 101
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 49
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\pr\yobi-desktop\Single_User\.VSCodeCounter\2022-04-21_20-31-10\results.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 7, 21
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\animatedtiles.py", "Python", 6072, 0, 0, 0, 0, 0, 0, 0, 0, 29, 8, 6109
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\appchooser.py", "Python", 1410, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 1425
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\application.py", "Python", 596, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 609
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\basicdrawing.py", "Python", 124, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 136
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\books.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 89
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\classwizard.py", "Python", 2297, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 2317
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\diagramscene.py", "Python", 405, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 418
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\dockwidgets.py", "Python", 453, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 465
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\dragdroprobot.py", "Python", 959, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 976
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\draggabletext.py", "Python", 46, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 58
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\gallery.py", "Python", 7978, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 7998
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\mdi.py", "Python", 596, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 609
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\res.py", "Python", 90, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 102
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\resources.py", "Python", 36056, 0, 0, 0, 0, 0, 0, 0, 0, 36, 8, 36100
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\systray.py", "Python", 2556, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 2582
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\textedit.py", "Python", 6007, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 6031
"f:\pr\yobi-desktop\Single_User\.qt_for_python\rcc\textures.py", "Python", 750, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 763
"f:\pr\yobi-desktop\Single_User\Capture.ico.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\pr\yobi-desktop\Single_User\Capture.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\pr\yobi-desktop\Single_User\Invoice_1.html", "HTML", 0, 0, 0, 0, 350, 0, 0, 0, 0, 29, 16, 395
"f:\pr\yobi-desktop\Single_User\Invoice_5.html", "HTML", 0, 0, 0, 0, 350, 0, 0, 0, 0, 29, 16, 395
"f:\pr\yobi-desktop\Single_User\README.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"f:\pr\yobi-desktop\Single_User\UIC\Fixedexpenseedit.ui", "XML", 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 4, 268
"f:\pr\yobi-desktop\Single_User\UIC\add_ledger.ui", "XML", 0, 598, 0, 0, 0, 0, 0, 0, 0, 0, 40, 638
"f:\pr\yobi-desktop\Single_User\UIC\addstock.ui", "XML", 0, 728, 0, 0, 0, 0, 0, 0, 0, 0, 3, 731
"f:\pr\yobi-desktop\Single_User\UIC\ash.ui", "XML", 0, 529, 0, 0, 0, 0, 0, 0, 0, 0, 1, 530
"f:\pr\yobi-desktop\Single_User\UIC\bills.ui", "XML", 0, 626, 0, 0, 0, 0, 0, 0, 0, 0, 40, 666
"f:\pr\yobi-desktop\Single_User\UIC\bizdetail.ui", "XML", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 3, 186
"f:\pr\yobi-desktop\Single_User\UIC\campaign.ui", "XML", 0, 689, 0, 0, 0, 0, 0, 0, 0, 0, 40, 729
"f:\pr\yobi-desktop\Single_User\UIC\coa.ui", "XML", 0, 655, 0, 0, 0, 0, 0, 0, 0, 0, 40, 695
"f:\pr\yobi-desktop\Single_User\UIC\currentassetsedit.ui", "XML", 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 4, 268
"f:\pr\yobi-desktop\Single_User\UIC\customer.ui", "XML", 0, 1303, 0, 0, 0, 0, 0, 0, 0, 0, 42, 1345
"f:\pr\yobi-desktop\Single_User\UIC\department.ui", "XML", 0, 659, 0, 0, 0, 0, 0, 0, 0, 0, 40, 699
"f:\pr\yobi-desktop\Single_User\UIC\employee.ui", "XML", 0, 726, 0, 0, 0, 0, 0, 0, 0, 0, 40, 766
"f:\pr\yobi-desktop\Single_User\UIC\fixedassetsedit.ui", "XML", 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 4, 268
"f:\pr\yobi-desktop\Single_User\UIC\fixedexpenseadd.ui", "XML", 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 3, 224
"f:\pr\yobi-desktop\Single_User\UIC\income_edit.ui", "XML", 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 4, 264
"f:\pr\yobi-desktop\Single_User\UIC\journalentry.ui", "XML", 0, 629, 0, 0, 0, 0, 0, 0, 0, 0, 40, 669
"f:\pr\yobi-desktop\Single_User\UIC\leads.ui", "XML", 0, 1035, 0, 0, 0, 0, 0, 0, 0, 0, 39, 1074
"f:\pr\yobi-desktop\Single_User\UIC\login.ui", "XML", 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 1, 257
"f:\pr\yobi-desktop\Single_User\UIC\login_POS.ui", "XML", 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 1, 205
"f:\pr\yobi-desktop\Single_User\UIC\login_accounts.ui", "XML", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 1, 214
"f:\pr\yobi-desktop\Single_User\UIC\login_admin.ui", "XML", 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 1, 205
"f:\pr\yobi-desktop\Single_User\UIC\login_admin_internal.ui", "XML", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 1, 198
"f:\pr\yobi-desktop\Single_User\UIC\login_hr.ui", "XML", 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 1, 205
"f:\pr\yobi-desktop\Single_User\UIC\logout.ui", "XML", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 3, 111
"f:\pr\yobi-desktop\Single_User\UIC\longtermliabilitiesedit.ui", "XML", 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 4, 268
"f:\pr\yobi-desktop\Single_User\UIC\main.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 9453, 11, 1585, 11049
"f:\pr\yobi-desktop\Single_User\UIC\main.ui", "XML", 0, 22685, 0, 0, 0, 0, 0, 0, 0, 0, 165, 22850
"f:\pr\yobi-desktop\Single_User\UIC\pos.ui", "XML", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 1, 194
"f:\pr\yobi-desktop\Single_User\UIC\position.ui", "XML", 0, 645, 0, 0, 0, 0, 0, 0, 0, 0, 40, 685
"f:\pr\yobi-desktop\Single_User\UIC\profile.ui", "XML", 0, 931, 0, 0, 0, 0, 0, 0, 0, 0, 41, 972
"f:\pr\yobi-desktop\Single_User\UIC\purchase_order.ui", "XML", 0, 584, 0, 0, 0, 0, 0, 0, 0, 0, 40, 624
"f:\pr\yobi-desktop\Single_User\UIC\resources.qrc", "XML", 0, 268, 0, 0, 0, 0, 0, 0, 0, 0, 1, 269
"f:\pr\yobi-desktop\Single_User\UIC\sales_return.ui", "XML", 0, 922, 0, 0, 0, 0, 0, 0, 0, 0, 38, 960
"f:\pr\yobi-desktop\Single_User\UIC\salesadd.ui", "XML", 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 3, 198
"f:\pr\yobi-desktop\Single_User\UIC\salesedit.ui", "XML", 0, 271, 0, 0, 0, 0, 0, 0, 0, 0, 3, 274
"f:\pr\yobi-desktop\Single_User\UIC\shorttermliabilitiesedit.ui", "XML", 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 4, 268
"f:\pr\yobi-desktop\Single_User\UIC\splash.ui", "XML", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 7, 200
"f:\pr\yobi-desktop\Single_User\UIC\stockturnover.ui", "XML", 0, 525, 0, 0, 0, 0, 0, 0, 0, 0, 3, 528
"f:\pr\yobi-desktop\Single_User\UIC\taxedit.ui", "XML", 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 1, 221
"f:\pr\yobi-desktop\Single_User\UIC\taxsettingsui.ui", "XML", 0, 1883, 0, 0, 0, 0, 0, 0, 0, 0, 50, 1933
"f:\pr\yobi-desktop\Single_User\UIC\ui_main.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 9453, 11, 1585, 11049
"f:\pr\yobi-desktop\Single_User\UIC\uom.ui", "XML", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 4, 175
"f:\pr\yobi-desktop\Single_User\UIC\update.ui", "XML", 0, 1485, 0, 0, 0, 0, 0, 0, 0, 0, 41, 1526
"f:\pr\yobi-desktop\Single_User\UIC\user_managment.ui", "XML", 0, 668, 0, 0, 0, 0, 0, 0, 0, 0, 40, 708
